emoji_code,Occurrences,Negative,Positive,positive_pc,negative_pc,sentimentScore
U+1f537,9,0,2,0.222,0.0,0.222
U+1f6a6,9,2,3,0.333,0.222,0.111
U+1f513,9,3,4,0.444,0.333,0.111
U+1f3bd,9,0,5,0.556,0.0,0.556
U+1f4c5,9,2,4,0.444,0.222,0.222
U+1f3ba,9,1,8,0.889,0.111,0.778
U+272f,9,0,0,0.0,0.0,0.0
U+1f348,9,6,2,0.222,0.667,-0.444
U+2709,9,1,4,0.444,0.111,0.333
U+2563,9,0,0,0.0,0.0,0.0
U+25e4,9,0,9,1.0,0.0,1.0
U+25cb,8,0,5,0.625,0.0,0.625
U+1f37c,8,1,6,0.75,0.125,0.625
U+1f4c0,8,1,2,0.25,0.125,0.125
U+1f69b,8,2,0,0.0,0.25,-0.25
U+1f4d3,8,1,3,0.375,0.125,0.25
U+2609,8,0,2,0.25,0.0,0.25
U+1f4b4,8,3,1,0.125,0.375,-0.25
U+253c,8,2,2,0.25,0.25,0.0
U+1f403,8,0,0,0.0,0.0,0.0
U+27b0,8,4,3,0.375,0.5,-0.125
U+1f50c,8,3,2,0.25,0.375,-0.125
U+1f344,8,2,2,0.25,0.25,0.0
U+1f4d5,8,1,3,0.375,0.125,0.25
U+1f4e3,8,1,5,0.625,0.125,0.5
U+1f693,8,0,3,0.375,0.0,0.375
U+1f417,8,0,5,0.625,0.0,0.625
U+21aa,8,0,1,0.125,0.0,0.125
U+26f3,8,0,7,0.875,0.0,0.875
U+253b,8,6,2,0.25,0.75,-0.5
U+251b,8,0,6,0.75,0.0,0.75
U+2503,8,0,4,0.5,0.0,0.5
U+1f471,7,1,2,0.286,0.143,0.143
U+23f3,7,3,3,0.429,0.429,0.0
U+1f4ba,7,1,3,0.429,0.143,0.286
U+1f3c7,7,3,2,0.286,0.429,-0.143
U+263b,7,1,3,0.429,0.143,0.286
U+1f4de,7,0,4,0.571,0.0,0.571
U+24b6,7,2,1,0.143,0.286,-0.143
U+1f309,7,0,5,0.714,0.0,0.714
U+1f6a9,7,3,1,0.143,0.429,-0.286
U+270e,7,0,5,0.714,0.0,0.714
U+1f4c3,7,0,4,0.571,0.0,0.571
U+1f3e8,7,0,2,0.286,0.0,0.286
U+1f4cc,7,5,1,0.143,0.714,-0.571
U+264e,7,2,1,0.143,0.286,-0.143
U+1f4b7,7,0,4,0.571,0.0,0.571
U+1f684,7,0,5,0.714,0.0,0.714
U+25b2,7,0,5,0.714,0.0,0.714
U+26f5,7,0,5,0.714,0.0,0.714
U+1f538,7,0,2,0.286,0.0,0.286
U+231b,7,2,3,0.429,0.286,0.143
U+1f69c,7,0,7,1.0,0.0,1.0
U+1f406,7,0,3,0.429,0.0,0.429
U+1f452,7,1,3,0.429,0.143,0.286
U+2755,7,1,3,0.429,0.143,0.286
U+1f51b,7,1,5,0.714,0.143,0.571
U+2662,7,0,3,0.429,0.0,0.429
U+1f1f2,7,0,4,0.571,0.0,0.571
U+2745,7,0,6,0.857,0.0,0.857
U+1f45d,6,1,4,0.667,0.167,0.5
U+271e,6,0,3,0.5,0.0,0.5
U+25e1,6,0,2,0.333,0.0,0.333
U+1f38b,6,1,5,0.833,0.167,0.667
U+1f465,6,1,3,0.5,0.167,0.333
U+1f4f5,6,1,2,0.333,0.167,0.167
U+1f421,6,0,2,0.333,0.0,0.333
U+25c6,6,0,5,0.833,0.0,0.833
U+1f3ef,6,0,1,0.167,0.0,0.167
U+2602,6,1,1,0.167,0.167,0.0
U+1f52d,6,0,3,0.5,0.0,0.5
U+1f3aa,6,0,2,0.333,0.0,0.333
U+1f41c,6,0,4,0.667,0.0,0.667
U+264c,6,0,5,0.833,0.0,0.833
U+2610,6,6,0,0.0,1.0,-1.0
U+1f477,6,1,3,0.5,0.167,0.333
U+21b3,6,0,0,0.0,0.0,0.0
U+1f508,6,0,2,0.333,0.0,0.333
U+1f4c4,6,0,6,1.0,0.0,1.0
U+1f4cd,6,1,2,0.333,0.167,0.167
U+1f690,6,0,5,0.833,0.0,0.833
U+1f694,6,1,1,0.167,0.167,0.0
U+1f30b,6,0,4,0.667,0.0,0.667
U+1f4e1,6,1,3,0.5,0.167,0.333
U+23e9,6,0,1,0.167,0.0,0.167
U+1f6b3,6,0,6,1.0,0.0,1.0
U+2718,6,0,5,0.833,0.0,0.833
U+6de,6,0,0,0.0,0.0,0.0
U+263e,6,0,0,0.0,0.0,0.0
U+1f170,6,1,3,0.5,0.167,0.333
U+1f4e5,6,0,0,0.0,0.0,0.0
U+1f1fc,6,0,3,0.5,0.0,0.5
U+2513,6,0,4,0.667,0.0,0.667
U+2523,6,0,4,0.667,0.0,0.667
U+24c1,6,0,3,0.5,0.0,0.5
U+24ba,6,0,3,0.5,0.0,0.5
U+1f526,5,0,0,0.0,0.0,0.0
U+1f464,5,0,4,0.8,0.0,0.8
U+1f681,5,0,1,0.2,0.0,0.2
U+1f3a0,5,0,3,0.6,0.0,0.6
U+1f401,5,2,0,0.0,0.4,-0.4
U+1f4d7,5,1,2,0.4,0.2,0.2
U+2510,5,2,1,0.2,0.4,-0.2
U+262e,5,2,2,0.4,0.4,0.0
U+2642,5,0,1,0.2,0.0,0.2
U+25de,5,1,1,0.2,0.2,0.0
U+1f4ef,5,1,0,0.0,0.2,-0.2
U+1f529,5,1,2,0.4,0.2,0.2
U+1f462,5,0,4,0.8,0.0,0.8
U+25c2,5,0,2,0.4,0.0,0.4
U+1f4f0,5,1,3,0.6,0.2,0.4
U+1f4f6,5,0,2,0.4,0.0,0.4
U+1f6a5,5,1,1,0.2,0.2,0.0
U+1f304,5,0,1,0.2,0.0,0.2
U+1f5fe,5,0,2,0.4,0.0,0.4
U+1f536,5,0,2,0.4,0.0,0.4
U+1f3e4,5,0,2,0.4,0.0,0.4
U+1f3a9,5,0,2,0.4,0.0,0.4
U+24c2,5,1,3,0.6,0.2,0.4
U+1f527,5,4,1,0.2,0.8,-0.6
U+1f405,5,0,1,0.2,0.0,0.2
U+266e,5,0,1,0.2,0.0,0.2
U+1f17e,5,2,1,0.2,0.4,-0.2
U+1f504,5,0,0,0.0,0.0,0.0
U+2604,5,0,0,0.0,0.0,0.0
U+2628,5,0,0,0.0,0.0,0.0
U+1f4e6,4,0,1,0.25,0.0,0.25
U+1f68a,4,1,2,0.5,0.25,0.25
U+1f532,4,0,3,0.75,0.0,0.75
U+1f501,4,1,1,0.25,0.25,0.0
U+25b3,4,0,1,0.25,0.0,0.25
U+1f4c6,4,0,4,1.0,0.0,1.0
U+275b,4,0,2,0.5,0.0,0.5
U+1f4c9,4,0,2,0.5,0.0,0.5
U+25b5,4,0,2,0.5,0.0,0.5
U+1f50e,4,0,3,0.75,0.0,0.75
U+261c,4,0,1,0.25,0.0,0.25
U+1f1ef,4,0,2,0.5,0.0,0.5
U+1f1f5,4,0,2,0.5,0.0,0.5
U+1f4d8,4,1,2,0.5,0.25,0.25
U+2721,4,0,0,0.0,0.0,0.0
U+24d4,4,0,3,0.75,0.0,0.75
U+1f511,4,1,2,0.5,0.25,0.25
U+1f503,4,1,1,0.25,0.25,0.0
U+1f443,4,2,2,0.5,0.5,0.0
U+2b55,4,0,2,0.5,0.0,0.5
U+1f518,4,0,1,0.25,0.0,0.25
U+24d2,4,2,2,0.5,0.5,0.0
U+1f6ad,4,0,4,1.0,0.0,1.0
U+1f689,4,0,3,0.75,0.0,0.75
U+1f6aa,4,0,3,0.75,0.0,0.75
U+27b3,4,0,2,0.5,0.0,0.5
U+1f683,4,0,3,0.75,0.0,0.75
U+252f,4,2,0,0.0,0.5,-0.5
U+1f3ec,4,0,0,0.0,0.0,0.0
U+263d,4,0,0,0.0,0.0,0.0
U+1f199,4,0,2,0.5,0.0,0.5
U+1f196,4,1,2,0.5,0.25,0.25
U+262a,4,0,0,0.0,0.0,0.0
U+2517,4,0,4,1.0,0.0,1.0
U+1f6ae,4,2,2,0.5,0.5,0.0
U+252b,4,0,0,0.0,0.0,0.0
U+24c4,4,0,2,0.5,0.0,0.5
U+2747,3,0,2,0.667,0.0,0.667
U+2734,3,0,2,0.667,0.0,0.667
U+250c,3,1,1,0.333,0.333,0.0
U+260a,3,0,3,1.0,0.0,1.0
U+1f515,3,2,1,0.333,0.667,-0.333
U+2b1b,3,2,1,0.333,0.667,-0.333
U+275d,3,0,0,0.0,0.0,0.0
U+275e,3,0,0,0.0,0.0,0.0
U+1f69e,3,0,2,0.667,0.0,0.667
U+1f376,3,0,2,0.667,0.0,0.667
U+1f310,3,0,2,0.667,0.0,0.667
U+2640,3,0,1,0.333,0.0,0.333
U+1f685,3,0,2,0.667,0.0,0.667
U+1f692,3,1,0,0.0,0.333,-0.333
U+27a3,3,0,0,0.0,0.0,0.0
U+264b,3,0,1,0.333,0.0,0.333
U+264d,3,0,2,0.667,0.0,0.667
U+1f55d,3,1,0,0.0,0.333,-0.333
U+24d0,3,0,3,1.0,0.0,1.0
U+2717,3,1,1,0.333,0.333,0.0
U+1f4d9,3,1,2,0.667,0.333,0.333
U+24c8,3,0,1,0.333,0.0,0.333
U+1f4cb,3,0,2,0.667,0.0,0.667
U+21e2,3,1,1,0.333,0.333,0.0
U+1f3b1,3,1,2,0.667,0.333,0.333
U+1f41e,3,0,1,0.333,0.0,0.333
U+1f53a,3,0,1,0.333,0.0,0.333
U+24e1,3,0,3,1.0,0.0,1.0
U+1f38d,3,0,0,0.0,0.0,0.0
U+2664,3,0,2,0.667,0.0,0.667
U+1f3b2,3,0,0,0.0,0.0,0.0
U+1f3af,3,0,2,0.667,0.0,0.667
U+3020,3,0,0,0.0,0.0,0.0
U+1f509,3,0,2,0.667,0.0,0.667
U+21a9,3,0,3,1.0,0.0,1.0
U+1f6be,3,0,1,0.333,0.0,0.333
U+1f3a3,3,2,0,0.0,0.667,-0.667
U+1f523,3,0,1,0.333,0.0,0.333
U+274e,3,3,0,0.0,1.0,-1.0
U+27a5,3,0,1,0.333,0.0,0.333
U+1f171,3,0,0,0.0,0.0,0.0
U+1f38c,3,0,3,1.0,0.0,1.0
U+25e3,3,0,1,0.333,0.0,0.333
U+23ec,3,0,3,1.0,0.0,1.0
U+266d,3,0,1,0.333,0.0,0.333
U+1f4a0,3,0,0,0.0,0.0,0.0
U+24de,2,0,2,1.0,0.0,1.0
U+1f533,2,0,1,0.5,0.0,0.5
U+1f3ed,2,0,1,0.5,0.0,0.5
U+1f530,2,0,0,0.0,0.0,0.0
U+1f3b3,2,1,0,0.0,0.5,-0.5
U+261a,2,0,2,1.0,0.0,1.0
U+27bd,2,0,1,0.5,0.0,0.5
U+27ab,2,0,1,0.5,0.0,0.5
U+2796,2,2,0,0.0,1.0,-1.0
U+1f3ee,2,0,0,0.0,0.0,0.0
U+1f4db,2,0,0,0.0,0.0,0.0
U+a4b0,2,0,1,0.5,0.0,0.5
U+a4b1,2,0,1,0.5,0.0,0.5
U+25dd,2,1,0,0.0,0.5,-0.5
U+1f4d1,2,0,2,1.0,0.0,1.0
U+1f3a6,2,0,0,0.0,0.0,0.0
U+24e7,2,0,2,1.0,0.0,1.0
U+1f1e8,2,0,0,0.0,0.0,0.0
U+1f1f3,2,0,0,0.0,0.0,0.0
U+1f51f,2,0,2,1.0,0.0,1.0
U+3013,2,0,2,1.0,0.0,1.0
U+24dc,2,0,1,0.5,0.0,0.5
U+27a0,2,0,2,1.0,0.0,1.0
U+1f686,2,0,1,0.5,0.0,0.5
U+1f6a0,2,0,0,0.0,0.0,0.0
U+2105,2,2,0,0.0,1.0,-1.0
U+2603,2,0,1,0.5,0.0,0.5
U+1f6bd,2,0,2,1.0,0.0,1.0
U+1f4d0,2,0,0,0.0,0.0,0.0
U+24dd,2,0,2,1.0,0.0,1.0
U+272e,2,0,0,0.0,0.0,0.0
U+21e6,2,0,2,1.0,0.0,1.0
U+1f472,2,0,1,0.5,0.0,0.5
U+1f6a1,2,1,0,0.0,0.5,-0.5
U+1f391,2,0,0,0.0,0.0,0.0
U+1f52c,2,0,2,1.0,0.0,1.0
